term,component_1,component_2
researchers,-0.1376041684578014,-0.12148887809976723
studying,-0.1373124334498627,0.015911017027975035
action,-0.13731145503976136,0.007576303742497261
regular,-0.13714973352008827,0.09687003200504496
success,-0.1366664050493949,-0.11337399254417851
focused,-0.13468952848606347,-0.03765774265727578
version,-0.13457123730545775,0.06563739649468324
contents,-0.13392515660672352,0.05394718368046265
shared,-0.13353498945838033,-0.09831216598988551
adopt,-0.13312100864315643,-0.17252411887608363
guide,-0.13302926480210647,0.0006618424083735052
individual,-0.13289914577775958,0.03928898994398397
guidance,-0.13237990440977715,-0.03610900234894011
just,-0.13203336233608826,-0.036507903264323495
behaviors,-0.13189259779759008,0.0020936483532786386
universal,-0.1318092693635784,-0.027922434735570396
perception,-0.13166618553192333,-0.06256393403116672
scope,-0.1316388313383615,-0.07667389849387318
libraries,-0.1316111425851804,-0.2516419056346887
appear,-0.1315905366781594,0.1470366590989361
medical,-0.13132907936683258,0.1455946116390269
business,-0.1313038570198332,-0.25509412549405264
economy,-0.13122513033234698,-0.13130661856600265
frequently,-0.13111742877618007,0.13444468597752648
significance,-0.13110626369510478,0.047254823929307
mixed,-0.13110166047677727,-0.01372224361537456
games,-0.13108921644177504,-0.22517369104366539
google,-0.13018112441298374,-0.12742224142999065
messages,-0.13002201688057521,-0.12367285482111877
differ,-0.1299580608896919,0.23431845637187199
targeted,-0.1297377636768296,0.03663834960654934
white,-0.12962360641824042,0.27990876160038486
expertise,-0.12961427633470382,-0.18728592029499827
